chain number;generation number;chain type;learner type;number of correct answers in test 1;words not in the bottleneck;participant sex;participant age
31;9;l3;l2;14;;M;28
31;10;l3;l2;14;;M;40
32;0;l3;;;;;
32;1;l3;l1;16;;F;49
32;2;l3;l2;15;;M;31
32;3;l3;l2;15;;M;26
32;4;l3;l2;16;;F;28
32;5;l3;l2;16;;M;22
32;6;l3;l2;15;;M;43
32;7;l3;l2;14;;F;37
32;8;l3;l2;13;;F;40
32;9;l3;l2;13;;M;41
32;10;l3;l2;12;;M;23
33;0;l3;;;;;
33;1;l3;l1;16;;F;29
33;2;l3;l2;14;;M;42
33;3;l3;l2;14;;F;22
33;4;l3;l2;14;;M;40
33;5;l3;l2;16;;M;22
33;6;l3;l2;11;;M;31
33;7;l3;l2;15;;F;22
33;8;l3;l2;12;;M;22
33;9;l3;l2;14;;F;21
33;10;l3;l2;14;;F;16
34;0;l3;;;;;
34;1;l3;l1;16;;F;53
34;2;l3;l2;15;;M;46
34;3;l3;l2;13;;M;27
34;4;l3;l2;16;;M;17
34;5;l3;l2;7;;F;47
34;6;l3;l2;6;;F;39
34;7;l3;l2;11;;M;31
34;8;l3;l2;8;;F;37
34;9;l3;l2;7;;M;26
34;10;l3;l2;2;;M;17
35;0;l3;;;;;
35;1;l3;l1;16;;M;26
35;2;l3;l2;14;;F;18
35;3;l3;l2;14;;F;34
35;4;l3;l2;16;;M;33
35;5;l3;l2;11;;F;16
35;6;l3;l2;15;;F;23
35;7;l3;l2;14;;M;27
35;8;l3;l2;16;;M;22
35;9;l3;l2;16;;M;32
35;10;l3;l2;16;;F;46
36;0;l3;;;;;
36;1;l3;l1;15;;F;30
36;2;l3;l2;15;;M;44
36;3;l3;l2;13;;M;27
36;4;l3;l2;15;;F;20
36;5;l3;l2;16;;M;17
36;6;l3;l2;16;;M;51
36;7;l3;l2;16;;M;20
36;8;l3;l2;15;;M;20
36;9;l3;l2;16;;M;20
36;10;l3;l2;15;;M;38
37;0;l3;;;;;
37;1;l3;l1;16;;M;32
37;2;l3;l2;15;;F;25
37;3;l3;l2;14;;F;55
37;4;l3;l2;14;;F;20
37;5;l3;l2;14;;M;46
37;6;l3;l2;14;;M;35
37;7;l3;l2;14;;F;29
37;8;l3;l2;14;;M;63
37;9;l3;l2;15;;F;24
37;10;l3;l2;11;;M;26
38;0;l3;;;;;
38;1;l3;l1;16;;M;24
38;2;l3;l2;16;;F;25
38;3;l3;l2;14;;M;33
38;4;l3;l2;13;;M;38
38;5;l3;l2;16;;M;22
38;6;l3;l2;16;;M;27
38;7;l3;l2;12;;M;26
38;8;l3;l2;16;;F;30
38;9;l3;l2;13;;F;36
38;10;l3;l2;12;;F;28
39;0;l3;;;;;
39;1;l3;l1;16;;M;26
39;2;l3;l2;15;;M;28
39;3;l3;l2;16;;F;49
39;4;l3;l2;14;;M;46
39;5;l3;l2;16;;M;27
39;6;l3;l2;12;;F;50
39;7;l3;l2;10;;F;23
39;8;l3;l2;11;;M;24
39;9;l3;l2;14;;M;45
39;10;l3;l2;11;;M;34
40;0;l3;;;;;
40;1;l3;l1;16;;M;21
40;2;l3;l2;15;;M;26
40;3;l3;l2;14;;M;35
40;4;l3;l2;15;;M;31
40;5;l3;l2;13;;M;27
40;6;l3;l2;14;;F;54
40;7;l3;l2;14;;M;29
40;8;l3;l2;16;;M;35
40;9;l3;l2;16;;M;52
40;10;l3;l2;15;;F;27
41;0;l3;;;;;
41;1;l3;l1;15;;M;33
41;2;l3;l2;15;;F;48
41;3;l3;l2;15;;M;42
41;4;l3;l2;12;;M;33
41;5;l3;l2;13;;M;17
41;6;l3;l2;15;;M;28
41;7;l3;l2;16;;M;36
41;8;l3;l2;15;;M;34
41;9;l3;l2;15;;M;22
41;10;l3;l2;16;;M;26
42;0;l3;;;;;
42;1;l3;l1;16;;M;19
42;2;l3;l2;14;;F;24
42;3;l3;l2;15;;M;24
42;4;l3;l2;16;;F;35
42;5;l3;l2;16;;M;33
42;6;l3;l2;14;;M;35
42;7;l3;l2;16;;F;25
42;8;l3;l2;14;;M;33
42;9;l3;l2;15;;F;20
42;10;l3;l2;15;;F;27
43;0;l3;;;;;
43;1;l3;l1;16;;M;34
43;2;l3;l2;14;;M;35
43;3;l3;l2;16;;M;23
43;4;l3;l2;15;;M;21
43;5;l3;l2;15;;M;29
43;6;l3;l2;10;;M;40
43;7;l3;l2;12;;M;24
43;8;l3;l2;16;;M;33
43;9;l3;l2;16;;F;20
43;10;l3;l2;16;;F;34
44;0;l3;;;;;
44;1;l3;l1;16;;F;21
44;2;l3;l2;15;;M;32
44;3;l3;l2;13;;F;49
44;4;l3;l2;13;;M;33
44;5;l3;l2;13;;M;32
44;6;l3;l2;13;;M;44
44;7;l3;l2;14;;F;32
44;8;l3;l2;11;;M;43
44;9;l3;l2;15;;M;37
44;10;l3;l2;13;;F;51
45;0;l3;;;;;
45;1;l3;l1;16;;M;35
45;2;l3;l2;12;;F;22
45;3;l3;l2;11;;F;52
45;4;l3;l2;16;;M;30
45;5;l3;l2;13;;M;47
45;6;l3;l2;15;;M;34
45;7;l3;l2;15;;F;20
45;8;l3;l2;15;;M;26
45;9;l3;l2;14;;M;25
45;10;l3;l2;14;;M;43
